Frage;Jahr in dem der Film/die Serie erstmalige erschien;Lösung (Name Film oder Serie)
In welcher Serie spielt Jennifer Aniston die Rolle der Rachel Green?;1994;Friends
Welcher Schauspieler verkörperte den jungen Obi-Wan Kenobi in Episode I-III?;1999;Ewan McGregor
In welcher Serie spielt Hugh Laurie den griesgrämigen Dr. Gregory House?;2004;Dr. House
"Wer spielte die Rolle des ""The Dude"" in ""The Big Lebowski""?";1998;Jeff Bridges
In welcher Serie spielt Julia Garner die Rolle der Ruth Langmore?;2017;Ozark
"Welcher Schauspieler spielte die Rolle des Edward Cullen in ""Twilight""?";2008;Robert Pattinson
"In welcher Serie spielt Pedro Pascal den ""Mandalorianer""?";2019;The Mandalorian
"Wer spielte die Rolle der ""Black Widow"" im Marvel-Universum?";2010;Scarlett Johansson
In welcher Serie spielt Charlie Sheen die Rolle des Charlie Harper?;2003;Two and a Half Men
Welcher Schauspieler spielte den Privatdetektiv Thomas Magnum im Original?;1980;Tom Selleck
In welcher Serie spielt Sandra Oh die Ärztin Dr. Cristina Yang?;2005;Grey's Anatomy
"Wer spielte die Rolle des Marty McFly in ""Zurück in die Zukunft""?";1985;Michael J. Fox
In welcher Serie spielt Evan Peters verschiedene Rollen, u.a. Jeffrey Dahmer?;2011;American Horror Story
Welcher Schauspieler spielte die Rolle des Captain America?;2011;Chris Evans
In welcher Serie spielt Matthew McConaughey den Detective Rust Cohle?;2014;True Detective
"Wer spielte die Rolle der Rose DeWitt Bukater in ""Titanic""?";1997;Kate Winslet
"In welcher Serie spielt Jeremy Allen White den Koch ""Carmy""?";2022;The Bear
Welcher Schauspieler verkörperte Frodo Beutlin?;2001;Elijah Wood
In welcher Serie spielt James Gandolfini den Mafiaboss Tony Soprano?;1999;Die Sopranos
"Wer spielte die Rolle des Ethan Hunt in ""Mission: Impossible""?";1996;Tom Cruise
In welcher Serie spielt Ellen Pompeo die Titelrolle Meredith Grey?;2005;Grey's Anatomy
"Welcher Schauspieler spielte den jungen Vito Corleone in ""Der Pate II""?";1974;Robert De Niro
In welcher Serie spielt Sofía Vergara die Rolle der Gloria Pritchett?;2009;Modern Family
"Wer spielte die Rolle des Legolas in ""Der Herr der Ringe""?";2001;Orlando Bloom
In welcher Serie spielt Andrew Lincoln den Polizisten Rick Grimes?;2010;The Walking Dead
"Welcher Schauspieler verkörperte den Bergsteiger im Film ""Cliffhanger""?";1993;Sylvester Stallone
In welcher Serie spielt David Duchovny den FBI-Agenten Fox Mulder?;1993;Akte X
Wer spielte die Rolle der Wonder Woman im DC Extended Universe?;2016;Gal Gadot
In welcher Serie spielt Penn Badgley den Stalker Joe Goldberg?;2018;You – Du wirst mich lieben
"Welcher Schauspieler spielte die Rolle des Batman in ""Batman Begins""?";2005;Christian Bale
In welcher Serie spielt Winona Ryder die Mutter Joyce Byers?;2016;Stranger Things
"Wer spielte die Rolle des ""Butch"" im Film ""Pulp Fiction""?";1994;Bruce Willis
In welcher Serie spielt Jenna Ortega die Rolle der Wednesday Addams?;2022;Wednesday
Welcher Schauspieler spielte den Professor Albus Dumbledore in den ersten zwei Harry-Potter-Filmen?;2001;Richard Harris
In welcher Serie spielt Ed O'Neill den Familienvater Al Bundy?;1987;Eine schrecklich nette Familie
Wer spielte die Rolle der Barbie im Realfilm von 2023?;2023;Margot Robbie
In welcher Serie spielt Kiefer Sutherland den Agenten Jack Bauer?;2001;24
"Welcher Schauspieler spielte den Archäologen Rick O'Connell in ""Die Mumie""?";1999;Brendan Fraser
In welcher Serie spielt Michael C. Hall einen Forensiker, der nachts zum Mörder wird?;2006;Dexter
"Wer spielte die Rolle des Peter Parker in ""The Amazing Spider-Man""?";2012;Andrew Garfield
In welcher Serie spielt Asa Butterfield den Schüler Otis Milburn?;2019;Sex Education
"Welcher Schauspieler verkörperte Stephen Hawking in ""Die Entdeckung der Unendlichkeit""?";2014;Eddie Redmayne
In welcher Serie spielt Gillian Anderson die Sexualtherapeutin Jean Milburn?;2019;Sex Education
Wer spielte die Rolle des Captain Marvel?;2019;Brie Larson
In welcher Serie spielt Dominic West den Detective Jimmy McNulty?;2002;The Wire
"Welcher Schauspieler spielte den Riddler im Film ""The Batman""?";2022;Paul Dano
In welcher Serie spielt Zendaya die Rolle der Rue Bennett?;2019;Euphoria
Wer spielte die Rolle des Maximus Decimus Meridius?;2000;Russell Crowe
In welcher Serie spielt Jon Hamm den Werbefachmann Don Draper?;2007;Mad Men
"Welcher Schauspieler spielte die Hauptrolle im Film ""Drive""?";2011;Ryan Gosling
In welcher Serie spielt Courteney Cox die Köchin Monica Geller?;1994;Friends
Wer spielte die Rolle des Aquaman?;2018;Jason Momoa
In welcher Serie spielt Sarah Jessica Parker die Kolumnistin Carrie Bradshaw?;1998;Sex and the City
"Welcher Schauspieler spielte den Piloten ""Maverick""?";1986;Tom Cruise
In welcher Serie spielt Taylor Schilling die Insassin Piper Chapman?;2013;Orange Is the New Black
"Wer spielte die Rolle des Hannibal Lecter in ""Das Schweigen der Lämmer""?";1991;Anthony Hopkins
In welcher Serie spielt Will Arnett die Stimme des Pferdes BoJack?;2014;BoJack Horseman
Welcher Schauspieler verkörperte den Wissenschaftler Robert Oppenheimer?;2023;Cillian Murphy
In welcher Serie spielt Kiefer Sutherland den Präsidenten Tom Kirkman?;2016;Designated Survivor
Wer spielte die Rolle des Aladdin im Disney-Realfilm?;2019;Mena Massoud
In welcher Serie spielt Kelsey Grammer den Psychiater Dr. Frasier Crane?;1993;Frasier
"Welcher Schauspieler spielte die Rolle des Bilbo Beutlin in ""Der Hobbit""?";2012;Martin Freeman
In welcher Serie spielt Andy Samberg den Detective Jake Peralta?;2013;Brooklyn Nine-Nine
Wer spielte die Rolle der Mary Poppins im Originalfilm?;1964;Julie Andrews
In welcher Serie spielt Charlie Hunnam den Biker Jax Teller?;2008;Sons of Anarchy
"Welcher Schauspieler spielte den Mafiaboss in ""Scarface""?";1983;Al Pacino
In welcher Serie spielt Viola Davis die Anwältin Annalise Keating?;2014;How to Get Away with Murder
"Wer spielte die Rolle des Star-Lord in ""Guardians of the Galaxy""?";2014;Chris Pratt
In welcher Serie spielt Kevin Spacey den Politiker Frank Underwood?;2013;House of Cards
Welcher Schauspieler spielte die Rolle des Iron Man / Tony Stark im Marvel Cinematic Universe?;2008;Robert Downey Jr.
In welcher Serie spielt Bryan Cranston den Chemielehrer Walter White?;2008;Breaking Bad
Welche Schauspielerin verkörperte die Rolle der Katniss Everdeen in der Panem-Reihe?;2012;Jennifer Lawrence
Welcher Film handelt von einem Teddybären, der lebendig wird und mit Mark Wahlberg befreundet ist?;2012;Ted
"Wer spielte die Rolle des Captain Jack Sparrow in ""Fluch der Karibik""?";2003;Johnny Depp
In welcher Sitcom spielt Kaley Cuoco die Rolle der Penny?;2007;The Big Bang Theory
"Welcher Schauspieler verkörperte den Joker im Film ""The Dark Knight""?";2008;Heath Ledger
In welcher Serie spielt Benedict Cumberbatch eine moderne Version eines berühmten Detektivs?;2010;Sherlock
Welcher Film zeigt Leonardo DiCaprio als Börsenmakler Jordan Belfort?;2013;The Wolf of Wall Street
"Wer spielte die Rolle der Hermine Granger in den ""Harry Potter""-Filmen?";2001;Emma Watson
In welcher Serie ist Henry Cavill als Geralt von Riva zu sehen?;2019;The Witcher
"Welcher Schauspieler spielte die Hauptrolle im Film ""Gladiator""?";2000;Russell Crowe
"In welcher Serie spielt Millie Bobby Brown das Mädchen ""Elf"" (Eleven)?";2016;Stranger Things
"Wer verkörperte James Bond im Film ""Casino Royale""?";2006;Daniel Craig
In welcher Comedy-Serie spielt Steve Carell den Chef Michael Scott?;2005;The Office (US)
Welcher Schauspieler spielte die Rolle des Wolverine in den X-Men-Filmen?;2000;Hugh Jackman
In welcher Serie spielt Claire Foy die junge Queen Elizabeth II.?;2016;The Crown
Welcher Film handelt von der Jagd nach einem weißen Hai vor der Insel Amity?;1975;Der weiße Hai
"Wer spielte die Rolle des Neo in der ""Matrix""-Trilogie?";1999;Keanu Reeves
In welcher Serie spielt Kit Harington die Rolle des Jon Schnee?;2011;Game of Thrones
"Welche Schauspielerin spielte die Rolle der Mia Wallace in ""Pulp Fiction""?";1994;Uma Thurman
In welcher Serie spielt Jason Sudeikis einen US-Coach in einem englischen Fußballclub?;2020;Ted Lasso
Wer spielte die Rolle des Forrest Gump im gleichnamigen Film?;1994;Tom Hanks
In welcher Serie spielt Elisabeth Moss die Magd Desfred (Offred)?;2017;The Handmaid's Tale
Welcher Schauspieler verkörperte Thor im gleichnamigen Marvel-Film?;2011;Chris Hemsworth
In welcher Serie spielt Neil Patrick Harris den Frauenhelden Barney Stinson?;2005;How I Met Your Mother
"Wer spielte die Hauptrolle in dem Film ""John Wick""?";2014;Keanu Reeves
In welcher Serie spielt Cillian Murphy den Gangsterboss Thomas Shelby?;2013;Peaky Blinders
"Welche Schauspielerin spielte ""Maleficent"" im gleichnamigen Disney-Realfilm?";2014;Angelina Jolie
In welcher Serie spielt Rami Malek den Hacker Elliot Alderson?;2015;Mr. Robot
"Wer spielte die Rolle des Han Solo im ersten ""Star Wars""-Film?";1977;Harrison Ford
In welcher Serie spielt Jennifer Aniston die Rolle der Rachel Green?;1994;Friends
Welcher Schauspieler verkörperte den jungen Obi-Wan Kenobi in Episode I-III?;1999;Ewan McGregor
In welcher Serie spielt Hugh Laurie den griesgrämigen Dr. Gregory House?;2004;Dr. House
"Wer spielte die Rolle des ""The Dude"" in ""The Big Lebowski""?";1998;Jeff Bridges
In welcher Serie spielt Julia Garner die Rolle der Ruth Langmore?;2017;Ozark
"Welcher Schauspieler spielte die Rolle des Edward Cullen in ""Twilight""?";2008;Robert Pattinson
"In welcher Serie spielt Pedro Pascal den ""Mandalorianer""?";2019;The Mandalorian
"Wer spielte die Rolle der ""Black Widow"" im Marvel-Universum?";2010;Scarlett Johansson
In welcher Serie spielt Charlie Sheen die Rolle des Charlie Harper?;2003;Two and a Half Men
Welcher Schauspieler spielte den Privatdetektiv Thomas Magnum im Original?;1980;Tom Selleck
In welcher Serie spielt Sandra Oh die Ärztin Dr. Cristina Yang?;2005;Grey's Anatomy
"Wer spielte die Rolle des Marty McFly in ""Zurück in die Zukunft""?";1985;Michael J. Fox
In welcher Serie spielt Evan Peters verschiedene Rollen, u.a. Jeffrey Dahmer?;2011;American Horror Story
Welcher Schauspieler spielte die Rolle des Captain America?;2011;Chris Evans
In welcher Serie spielt Matthew McConaughey den Detective Rust Cohle?;2014;True Detective
"Wer spielte die Rolle der Rose DeWitt Bukater in ""Titanic""?";1997;Kate Winslet
"In welcher Serie spielt Jeremy Allen White den Koch ""Carmy""?";2022;The Bear
Welcher Schauspieler verkörperte Frodo Beutlin?;2001;Elijah Wood
In welcher Serie spielt James Gandolfini den Mafiaboss Tony Soprano?;1999;Die Sopranos
"Wer spielte die Rolle des Ethan Hunt in ""Mission: Impossible""?";1996;Tom Cruise
In welcher Serie spielt Ellen Pompeo die Titelrolle Meredith Grey?;2005;Grey's Anatomy
"Welcher Schauspieler spielte den jungen Vito Corleone in ""Der Pate II""?";1974;Robert De Niro
In welcher Serie spielt Sofía Vergara die Rolle der Gloria Pritchett?;2009;Modern Family
"Wer spielte die Rolle des Legolas in ""Der Herr der Ringe""?";2001;Orlando Bloom
In welcher Serie spielt Andrew Lincoln den Polizisten Rick Grimes?;2010;The Walking Dead
"Welcher Schauspieler verkörperte den Bergsteiger im Film ""Cliffhanger""?";1993;Sylvester Stallone
In welcher Serie spielt David Duchovny den FBI-Agenten Fox Mulder?;1993;Akte X
Wer spielte die Rolle der Wonder Woman im DC Extended Universe?;2016;Gal Gadot
In welcher Serie spielt Penn Badgley den Stalker Joe Goldberg?;2018;You – Du wirst mich lieben
"Welcher Schauspieler spielte die Rolle des Batman in ""Batman Begins""?";2005;Christian Bale
In welcher Serie spielt Winona Ryder die Mutter Joyce Byers?;2016;Stranger Things
"Wer spielte die Rolle des ""Butch"" im Film ""Pulp Fiction""?";1994;Bruce Willis
In welcher Serie spielt Jenna Ortega die Rolle der Wednesday Addams?;2022;Wednesday
Welcher Schauspieler spielte den Professor Albus Dumbledore in den ersten zwei Harry-Potter-Filmen?;2001;Richard Harris
In welcher Serie spielt Ed O'Neill den Familienvater Al Bundy?;1987;Eine schrecklich nette Familie
Wer spielte die Rolle der Barbie im Realfilm von 2023?;2023;Margot Robbie
In welcher Serie spielt Kiefer Sutherland den Agenten Jack Bauer?;2001;24
"Welcher Schauspieler spielte den Archäologen Rick O'Connell in ""Die Mumie""?";1999;Brendan Fraser
In welcher Serie spielt Michael C. Hall einen Forensiker, der nachts zum Mörder wird?;2006;Dexter
"Wer spielte die Rolle des Peter Parker in ""The Amazing Spider-Man""?";2012;Andrew Garfield
In welcher Serie spielt Asa Butterfield den Schüler Otis Milburn?;2019;Sex Education
"Welcher Schauspieler verkörperte Stephen Hawking in ""Die Entdeckung der Unendlichkeit""?";2014;Eddie Redmayne
In welcher Serie spielt Gillian Anderson die Sexualtherapeutin Jean Milburn?;2019;Sex Education
Wer spielte die Rolle des Captain Marvel?;2019;Brie Larson
In welcher Serie spielt Dominic West den Detective Jimmy McNulty?;2002;The Wire
"Welcher Schauspieler spielte den Riddler im Film ""The Batman""?";2022;Paul Dano
In welcher Serie spielt Zendaya die Rolle der Rue Bennett?;2019;Euphoria
Wer spielte die Rolle des Maximus Decimus Meridius?;2000;Russell Crowe
In welcher Serie spielt Jon Hamm den Werbefachmann Don Draper?;2007;Mad Men
"Welcher Schauspieler spielte die Hauptrolle im Film ""Drive""?";2011;Ryan Gosling
In welcher Serie spielt Courteney Cox die Köchin Monica Geller?;1994;Friends
Wer spielte die Rolle des Aquaman?;2018;Jason Momoa
In welcher Serie spielt Sarah Jessica Parker die Kolumnistin Carrie Bradshaw?;1998;Sex and the City
"Welcher Schauspieler spielte den Piloten ""Maverick""?";1986;Tom Cruise
In welcher Serie spielt Taylor Schilling die Insassin Piper Chapman?;2013;Orange Is the New Black
"Wer spielte die Rolle des Hannibal Lecter in ""Das Schweigen der Lämmer""?";1991;Anthony Hopkins
In welcher Serie spielt Will Arnett die Stimme des Pferdes BoJack?;2014;BoJack Horseman
Welcher Schauspieler verkörperte den Wissenschaftler Robert Oppenheimer?;2023;Cillian Murphy
In welcher Serie spielt Kiefer Sutherland den Präsidenten Tom Kirkman?;2016;Designated Survivor
Wer spielte die Rolle des Aladdin im Disney-Realfilm?;2019;Mena Massoud
In welcher Serie spielt Kelsey Grammer den Psychiater Dr. Frasier Crane?;1993;Frasier
"Welcher Schauspieler spielte die Rolle des Bilbo Beutlin in ""Der Hobbit""?";2012;Martin Freeman
In welcher Serie spielt Andy Samberg den Detective Jake Peralta?;2013;Brooklyn Nine-Nine
Wer spielte die Rolle der Mary Poppins im Originalfilm?;1964;Julie Andrews
In welcher Serie spielt Charlie Hunnam den Biker Jax Teller?;2008;Sons of Anarchy
"Welcher Schauspieler spielte den Mafiaboss in ""Scarface""?";1983;Al Pacino
In welcher Serie spielt Viola Davis die Anwältin Annalise Keating?;2014;How to Get Away with Murder
"Wer spielte die Rolle des Star-Lord in ""Guardians of the Galaxy""?";2014;Chris Pratt
In welcher Serie spielt Kevin Spacey den Politiker Frank Underwood?;2013;House of Cards
