Nr.;Frage;Antwort;Schwierigkeit
227;Welcher Kiez-Bewohner litt unter einer ausgeprägten Waschphobie nach einem traumatischen Erlebnis?;Lenny Cöster;Schwer
228;Wie heißt die leibliche Mutter von Paul Wiedmanns Sohn Tom?;Emily Höfer;Einfach
229;Welcher Charakter flüchtete nach einem dreisten Juwelenraub im Kiez mit der Beute nach Südamerika?;David Brenner;Schwer
230;Wie heißt das fiktive Berliner Stadtmagazin, für das Verena Koch jahrelang als Fotografin arbeitete?;Metropolitan Trends;Mittel
231;Welcher Kiez-Bewohner wurde nach dem Konsum von kontaminierten Lebensmitteln im Mauerwerk schwer krank?;Jonas Seefeld;Mittel
232;Wie heißt die leibliche Schwester von Felix und Chris Lehmann, die in den USA lebt?;Sie haben keine Schwester;Schwer
233;Welcher Charakter wurde nach einer dreisten Erpressung von Jo Gerner in einer psychiatrischen Klinik untergebracht?;Barbara Graf;Schwer
234;Wie heißt die leibliche Mutter von Nihat Güneys großer Liebe Lilly Seefeld?;Maren Seefeld;Einfach
235;Welcher Kiez-Bewohner gewann eine beträchtliche Summe beim Pokern und kaufte damit Anteile am Späti?;Tayfun Badak;Mittel
236;Wie hieß die beliebte Kiez-WG, in der Sandra, Deniz und Julia in den 2000ern lebten?;Die Backstein-WG;Schwer
237;Welcher Charakter erlitt eine schwere Rauchgasvergiftung bei einer Brandstiftung im Vereinsheim?;Tuner;Mittel
238;Wie heißt die leibliche Tochter von Nina Klee, die als taffe Polizistin im Kiez arbeitet?;Toni Ahrens;Einfach
239;Welcher Kiez-Bewohner wurde von einem rücksichtslosen Stalker in den Berliner U-Bahn-Schächten in die Enge getrieben?;Jasmin Flemming;Mittel
240;Wie heißt der leibliche Vater von Yvonne Bodes Tochter Laura Lehmann?;Michael Bode;Mittel
241;Welcher Charakter wurde am Tag seiner geplanten Hochzeit mit Verena Koch wegen eines Missverständnisses verhaftet?;Leon Moreno;Mittel
242;Wie heißt das alternative Kulturzentrum, das Chris Lehmann gegen den Willen seiner Mutter Rosa verteidigte?;Die alte Fabrik;Schwer
243;Welcher Kiez-Bewohner wurde nach einem schweren Autounfall in ein künstliches Koma versetzt?;Gerner (nach dem Schuss von Patrick);Mittel
244;Wie heißt die leibliche Mutter von John Bachmanns jüngerem Bruder Ben Bachmann?;Patrizia Bachmann;Mittel
245;Welcher Charakter täuschte eine schwere Herzerkrankung vor, um die Scheidung von seiner Frau zu verhindern?;Clemens Richter (in den frühen Jahren);Schwer
246;Wie heißt das schicke Kiez-Appartement, das lange Zeit von Emily, Philip und John bewohnt wurde?;Höfer-Apartment;Einfach
247;Welcher Kiez-Bewohner wurde nach einem folgenschweren One-Night-Stand mit Katrin Flemming Vater einer Tochter?;Jo Gerner (Johanna);Einfach
248;Wie hieß die Plattenfirma, bei der die Kiez-Band „Verzaubert“ ihren ersten professionellen Plattenvertrag unterschrieb?;Sisters Sound;Schwer
249;Welcher Charakter wurde nach einer dramatischen Schlägerei im Mauerwerk wegen schwerer Körperverletzung zu Sozialstunden verurteilt?;Erik Fritsche;Mittel
250;Wie heißt die leibliche Mutter von Sunny Richters großer Liebe Felix Lehmann?;Rosa Lehmann;Einfach
251;Welcher Charakter überlebte in den 90er Jahren einen brutalen Giftanschlag auf seine Hochzeitstorte?;Peter Becker;Schwer
252;Wie heißt der fiktive Berliner Fußballverein, bei dem Jonas Seefeld in seiner Jugend in der Auswahl spielte?;BFC Dynamo (oder Kiez-Klub SV Berlin);Mittel
253;Welcher Kiez-Bewohner wurde nach einer heftigen Auseinandersetzung mit einem Geschäftspartner von einer Brücke gestoßen?;David Brenner;Schwer
254;Wie heißt die biologische Tochter von Cora Hinze und Leon Moreno?;Sie haben keine Tochter (Sohn Ben);Mittel
255;Welcher Charakter täuschte einen schweren Reitunfall vor, um das Mitleid seiner Familie zu erschleichen?;Patrick Graf jr.;Schwer
256;Wie heißt das edle Kosmetikstudio, das von den Kiez-Frauen in den 2000er Jahren eröffnet wurde?;Body & Soul;Schwer
257;Welcher Kiez-Bewohner infizierte sich bei einer Auslandsreise mit einer seltenen, lebensgefährlichen Tropenkrankheit?;Philip Höfer;Mittel
258;Wie heißt die leibliche Mutter von Marens jüngerem Sohn Jonas Seefeld?;Maren Seefeld;Einfach
259;Welcher Charakter wurde nach einer dreisten Sabotageaktion im Mauerwerk als Geschäftsführer fristlos entlassen?;David Brenner;Schwer
260;Wie heißt die taffe Rechtsanwältin, die Jo Gerner bei seinem erbitterten Sorgerechtsstreit um Johanna vertrat?;Inka Albrecht;Schwer
261;Welcher Kiez-Bewohner baute nach einer schweren Lebenskrise eine erfolgreiche Karriere als Tischler auf?;Paul Wiedmann;Mittel
262;Wie heißt der leibliche Vater von Jasmins Adoptivbruder Dominik Gundlach?;Jo Gerner;Einfach
263;Welcher Charakter wurde nach einem heftigen Streit von Katrin Flemming kurzerhand aus dem Loft geworfen?;Bommel (Till Kuhn);Mittel
264;Wie heißt das kleine Kiez-Bistro, das vor dem Umbau zum Mauerwerk der zentrale Treffpunkt war?;Fasan-Bistro;Mittel
265;Welcher Kiez-Bewohner wurde nach einer anonymen Anzeige wegen Steuerhinterziehung vom Finanzamt überprüft?;Jo Gerner;Einfach
266;Wie heißt die leibliche Schwester von Laura Lehmanns Ehemann John Bachmann?;Lena Bachmann;Mittel
267;Welcher Charakter wurde nach einem dreisten Diebstahl von exklusiven Designertaschen im Kiez erwischt?;Emily Höfer;Mittel
268;Wie heißt das Jeremias-Krankenhaus mit seiner offiziellen, fiktiven Stationsbezeichnung für Innere Medizin?;Station 3B;Schwer
269;Welcher Kiez-Bewohner wurde nach einem folgenschweren Unfall bei einem illegalen Autorennen dauerhaft fahruntauglich?;Jonas Seefeld;Mittel
270;Wie heißt die biologische Mutter von Felix Lehmanns jüngerem Bruder Chris Lehmann?;Rosa Lehmann;Einfach
271;Welcher Charakter wurde nach einer dramatischen Entführung im Wald von einer taffen Spezialeinheit der Polizei gerettet?;Jo Gerner;Mittel
272;Wie heißt die exklusive Event-Agentur, die von Katrin Flemming nach dem Ausstieg von Maren Seefeld allein geführt wurde?;Metropolitan Events / KFI;Mittel
273;Welcher Kiez-Bewohner wurde nach dem Fund von illegalen Substanzen in seinem Spind im Mauerwerk fristlos gekündigt?;Vince Köpke;Schwer
274;Wie heißt die leibliche Tochter von Yvonne Bode, die mit John Bachmann verheiratet ist?;Laura Lehmann (geb. Weber);Einfach
275;Welcher Charakter erlitt nach einer gescheiterten Modenschau im Kiez einen schweren Nervenzusammenbruch?;Jasmin Flemming;Mittel
276;Wie heißt der leibliche Vater von Marens spätem Baby Emma Seefeld?;Leon Moreno;Einfach
277;Welcher Kiez-Bewohner wurde nach einer anonymen Bombendrohung im Mauerwerk evakuiert?;Alle Gäste (John war Geschäftsführer);Mittel
278;Wie heißt die taffe Kiez-Polizistin, die die leibliche Schwester von Luis Ahrens ist?;Toni Ahrens;Einfach
279;Welcher Charakter wurde nach einem heftigen Streit mit seinem Vater Martin Ahrens handgreiflich?;Luis Ahrens;Mittel
280;Wie heißt das schicke Penthouse, das Jo Gerner nach dem verheerenden Brand im alten Loft erwarb?;Gerners neues Penthouse;Einfach
281;Welcher Kiez-Bewohner wurde nach einem dreisten Betrug mit gefälschten Kunstwerken von der Polizei festgenommen?;David Brenner;Schwer
282;Wie heißt die biologische Mutter von Paul Wiedmanns großer Liebe Emily Höfer?;Hannelore Höfer;Mittel
283;Welcher Charakter wurde nach einer folgenschweren Verwechslung im Krankenhaus fast falsch operiert?;Tuner;Schwer
284;Wie heißt das beliebte Kiez-Café, das nach dem Auszug des alten Spätkaufs dort eröffnet wurde?;Vereinsheim;Einfach
285;Welcher Kiez-Bewohner wurde nach einem dramatischen Sturz in einen tiefen Brunnenschacht von Erik gerettet?;Toni Ahrens;Mittel
286;Wie heißt die exklusive Modelagentur, für die Jasmin Flemming in ihrer Jugend in Paris arbeitete?;L'amour;Schwer
287;Welcher Charakter wurde nach einer anonymen Anzeige wegen illegalen Glücksspiels im Kiez verhaftet?;Tayfun Badak;Mittel
288;Wie heißt die biologische Mutter von Johns jüngerem Halbbruder Ben Moreno?;Cora Hinze;Mittel
289;Welcher Kiez-Bewohner wurde nach einem folgenschweren Unfall mit einer Kreissäge in der Werkstatt schwer an der Hand verletzt?;Paul Wiedmann;Mittel
290;Wie heißt die taffe Anwältin, die Katrin Flemming bei ihrer Scheidung von Jo Gerner vertrat?;Inka Albrecht;Schwer
291;Welcher Charakter wurde nach einer dramatischen Verfolgungsjagd im Kiez von einer taffen Polizistin gestellt?;Erik Fritsche;Mittel
292;Wie heißt der leibliche Vater von Yvonnes Sohn Moritz Demand?;Michi Demand;Einfach
293;Welcher Kiez-Bewohner wurde nach einem heftigen Streit mit seiner Mutter Rosa Lehmann enterbt?;Chris Lehmann;Mittel
294;Wie heißt das noble Kiez-Hotel, in dem Jo Gerner regelmäßig seine geschäftlichen Termine wahrnimmt?;Grand Justen;Schwer
295;Welcher Charakter wurde nach einer anonymen Erpressung im Mauerwerk von John Bachmann zur Rede gestellt?;David Brenner;Schwer
296;Wie heißt die leibliche Mutter von Luis Ahrens' großer Liebe Moritz Demand?;Yvonne Bode;Einfach
297;Welcher Kiez-Bewohner wurde nach einem folgenschweren Sturz von einer Leiter im Vereinsheim am Kopf verletzt?;Tuner;Mittel
298;Wie heißt die taffe Event-Agentur, die von Laura Lehmann und Emily Höfer gegründet wurde?;Vleder BAG Events;Mittel
299;Welcher Charakter wurde nach einem heftigen Streit mit seiner Ehefrau Nina Klee aus der gemeinsamen Wohnung geworfen?;Martin Ahrens;Einfach
300;Welches legendäre Kiez-Urgestein feierte im Jahr 2023 sein sensationelles 30-jähriges Dienstjubiläum in der Serie?;Dr. Jo Gerner (gespielt von Wolfgang Bahro);Einfach
