Nr.;Frage;Antwort;Schwierigkeit
196;Wie heißt der ursprüngliche Schöpfer des kompetitiven Karten-Designs der Map de_inferno in Counter-Strike?;"Chris ""Barney"" Auty";Schwer
197;Welcher League of Legends-Profi schaffte es, in vier verschiedenen eSport-Regionen (Europa, Nordamerika, Korea, China) offiziell auf dem Server zu stehen?;CoreJJ (oder Trick) -> Korrektur: Wadid / LirA;Schwer
198;Welcher berühmte Spieleentwickler schrieb den vollständigen KI-Code für die Monster im Meilenstein Half-Life (1998)?;Yahn Bernier;Schwer
199;Welches Team gewann die historische ESL One Katowice 2014 im Finale gegen Ninjas in Pyjamas vor heimischem Publikum?;"Virtus.pro (""Virtus.Plow"")";Schwer
200;Welches Jahr markiert das Ende des Supports und das finale Abschalten der offiziellen Server für Counter-Strike 1.6 im alten WON-Netzwerk?;2004;Schwer
201;Welches nützliche Utensil nutzt man am PC, um das Kabel einer Kabelmaus flexibel in der Luft zu halten?;Mouse Bungee;Einfach
202;Welches legendäre Rollenspiel-Franchise von Bethesda nutzt den Spruch „War. War never changes.“?;Fallout;Einfach
203;Aus welchem weltbekannten Klötzchenspiel stammt der unheimliche, lautlose Gegner namens „Creeper“?;Minecraft;Einfach
204;Welches beliebte Peripherie-Gerät wandelt die Handbewegungen eines Spielers in digitale Kameradrehungen um?;Maus;Einfach
205;Welches Kürzel steht im Gaming-Jargon für das wiederholte Besiegen computergesteuerter Gegner, um Erfahrungspunkte zu sammeln?;XP-Grinding (oder Farmen);Einfach
206;Wie heißt der blaue Igel von Sega, der für seine immense Laufgeschwindigkeit weltberühmt ist?;Sonic;Einfach
207;Wie nennt man den Spielmodus in Taktik-Shootern wie Counter-Strike, bei dem man nach einem Tod sofort wiederbelebt wird?;Deathmatch;Einfach
208;Welches von Kritikern gefeierte Piraten-Onlinespiel von Rare lässt Spieler gemeinsam Schiffe steuern und Schätze heben?;Sea of Thieves;Einfach
209;Welches Spielgenre versteckt sich hinter der Abkürzung „RPG“?;Role-Playing Game (Rollenspiel);Einfach
210;Aus welcher Videospielreihe stammt der geflügelte Satz „It’s-a me, Mario!“?;Super Mario;Einfach
211;Welcher eSport-Shooter von Blizzard verhalf Teams wie den San Francisco Shock in einer eigenen Franchise-Liga zu Weltruhm?;Overwatch;Einfach
212;Wie heißt der fiktive Hauptort und die Heimatregion, in der die Handlung von Grand Theft Auto: San Andreas spielt?;San Andreas (Städte: Los Santos, San Fierro, Las Venturas);Einfach
213;Welcher Spieleentwickler betreibt die populäre Plattform Epic Games Store und erfand die Unreal Engine?;Epic Games;Einfach
214;Wie nennt man im Gaming das unfaire Ausnutzen eines Programmierfehlers, um sich einen Vorteil zu verschaffen?;Exploit (Exploiten);Einfach
215;Welcher eSport-Klassiker wird traditionell auf einem geteilten Bildschirm (Split-Screen) als Rennspiel mit Bananenschalen gespielt?;Mario Kart;Einfach
216;Welcher Gegenstand blockiert im eSport-Titel League of Legends die Sicht des gegnerischen Teams in einem Busch?;Control Ward (oder Oracle Lens zum Aufdecken);Einfach
217;Wie heißt die wichtigste, jährlich stattfindende Weltmeisterschaft im eSport-Titel League of Legends?;Worlds (World Championship);Einfach
218;Was versteht man im Gaming unter dem Begriff „NPC“?;Non-Player Character (Nicht-Spieler-Charakter);Einfach
219;Welcher Taktik-Shooter von Riot Games nutzt Charaktere mit magischen Fähigkeiten, orientiert sich spielerisch aber stark an Counter-Strike?;Valorant;Einfach
220;Welches Strategiespiel-Urgestein von Microsoft lässt Spieler von der Steinzeit bis in die Kaiserzeit Imperien aufbauen?;Age of Empires;Einfach
221;Welcher schwedische CS:GO-Profi wurde weltberühmt für seine aggressiven und unvorhersehbaren Spielzüge mit der AWP und hieß „jw“?;Jesper Wecksell (JW);Mittel
222;Welcher League of Legends-Champion verwandelt sich bei Aktivierung seiner ultimativen Fähigkeit in einen riesigen, unaufhaltsamen Drachen?;Shyvana;Mittel
223;Wie nennt man das strategische Manöver in MOBAs, bei dem man die gegnerischen Vasallen absichtlich nahe am eigenen Turm einfriert?;Wave Freezing;Mittel
224;Welches eSport-Franchise gewann im Jahr 2019 das allererste offizielle Fortnite World Cup Solo-Turnier?;Bugha (Kyle Giersdorf);Mittel
225;Wie heißt der Gründer und CEO des erfolgreichen eSport-Clans G2 Esports, der früher selbst als „Ocelote“ Profi in LoL war?;Carlos Rodríguez;Mittel
226;Was bewirkt der „Kevlar + Helm“-Kauf in Counter-Strike primär beim Treffer einer gegnerischen Granate oder Pistole?;Verhindert den Aim-Punch (Zucken des Fadenkreuzes bei Treffern);Mittel
227;Welcher Champion in League of Legends schießt eine gigantische, globale Kristallpfeil-Ultimative quer über die gesamte Karte?;Ashe;Mittel
228;Welches nordamerikanische eSport-Team ist weltbekannt für sein schwarz-grünes Logo und seine historische Dominanz im Konsolen-Shooter Call of Duty?;OpTic Gaming;Mittel
229;Wie viele Lanes (Hauptwege) besitzt die eSport-Karte Summoner's Rift in League of Legends?;3 (Top, Mid, Bot);Einfach
230;Welcher ukrainische Counter-Strike-Ausnahmespieler wurde von der Community ehrfürchtig als „The Undertaker“ oder „S1mple“ gefeiert?;s1mple (Oleksandr Kostyliev);Einfach
231;Was versteht man im eSport-Jargon unter dem Begriff „Netgraph“ bei PC-Shootern?;Eine Bildschirmanzeige für FPS, Ping und Paketverlust;Mittel
232;Welches eSport-Team gewann die allererste Season der offiziellen Overwatch League (OWL) im Jahr 2018?;London Spitfire;Mittel
233;Wie heißt die spezielle In-Game-Position in League of Legends, die sich ausschließlich im Wald aufhält und neutrale Monster besiegt?;Jungler;Einfach
234;Welches Team besiegte im Jahr 2021 sensationell die Favoriten von PSG.LGD und gewann das geschichtsträchtige Dota 2-Turnier „The International 10“?;Team Spirit;Mittel
235;Wie nennt man das Zeitfenster direkt nach der Veröffentlichung eines neuen Patches, in dem Spieler die stärksten Kombinationen austesten?;Meta-Shaping (The Theorycrafting Phase);Mittel
236;Welcher dänische eSportler gilt als einer der besten mechanischen Mid-Laner Europas und feierte epische Erfolge mit G2 Esports?;Caps (Rasmus Winther);Mittel
237;Welche Tastenkombination öffnet in den meisten Source-Engine-Spielen wie CS:GO oder CS2 die Entwicklerkonsole?;Tilde-Taste (~) / Ö-Taste auf deutschen Tastaturen;Mittel
238;Wie heißt der ikonische französische Counter-Strike-Spieler, der für seine virtuosen Einzelschüsse mit der Desert Eagle als „ScreaM“ bekannt war?;Adil Benrlitom (ScreaM);Mittel
239;Welches historische eSport-Team dominierte die frühe europäische League of Legends-Szene ab 2012 unter dem Namen „Moscow Five“?;Moscow Five (M5 / später Gambit Gaming);Mittel
240;Wie nennt man die Taktik im eSport, bei der man die Minimap des Gegners durch illegales Zuschauen im Stream ausspioniert?;Streamsniping;Einfach
241;Welches asiatische Land veranstaltet die Profiliga „LCK“, welche als die kompetitivste und erfolgreichste Liga in League of Legends gilt?;Südkorea;Einfach
242;Welcher dänische Spieler war der absolute Star-AWPer des legendären Astralis-Lineups, das vier Majors dominierte?;dev1ce (Nicolai Reedtz);Mittel
243;Wie nennt man das strategische Kaufen von Waffen für Teammates in Counter-Strike, wenn diese selbst kein In-Game-Geld haben?;Droppen (Waffe spenden);Einfach
244;Welches Item kauft man in Dota 2, um unsichtbare Einheiten und gegnerische Wards im Umkreis aufzudecken?;Sentry Ward (oder Dust of Appearance);Mittel
245;Wie heißt die offizielle Profiliga von League of Legends in Nordamerika?;LCS (League Championship Series);Mittel
246;Welches Team sicherte sich im Oktober 2023 den prestigeträchtigen Titel der League of Legends Weltmeisterschaft (Worlds 2023) in Südkorea?;T1;Mittel
247;Welcher Begriff beschreibt das Phänomen, bei dem ein eSport-Profi unter dem immensen Druck eines Live-Turniers plötzlich spielerisch einbricht?;Choken (Choking);Mittel
248;Wie hieß der gefürchtete und extrem schnelle Spielstil der Zerg-Spieler im eSport-Klassiker StarCraft: Brood War, der auf Mutalisken basierte?;Mutalisk Micro / Muta-Harass;Mittel
249;Welcher amerikanische eSport-Klub ist berühmt für sein blau-weißes Blitz-Logo und feierte Meisterschaften in LoL, CS und Valorant?;Cloud9;Mittel
250;Wie nennt man das akustische Signal in Counter-Strike, das ertönt, wenn ein Defuse-Kit beim Entschärfen der Bombe verwendet wird?;Das „Klicken“ des Kits (Ankündigungssound);Einfach
251;Welcher legendäre Turniermodus wurde auf der CPL (Cyberathlete Professional League) im Jahr 2001 im Finale von Counter-Strike 1.6 gespielt?;MaxRounds 12 (MR12 - genau wie heute in CS2!);Schwer
252;Wie lautet der Name des berühmten Bugs im originalen StarCraft, bei dem Einheiten unendlich Mineralien abbauen konnten, wenn man die Befehle frame-perfekt abbrach?;Mayfly-Mining / Drone Drilling Bug;Schwer
253;Welcher französische In-Game-Leader revolutionierte die CS:GO-Szene durch seinen extrem riskanten, aber genialen „Force-Buy“-Stil mit Team EnVyUs?;Happy (Vincent Schopenhauer);Schwer
254;Wie hieß das historische erste Preisgeld-Turnier der eSport-Geschichte, das 1970 an der Stanford-Universität im Spiel Spacewar! ausgetragen wurde?;Intergalactic Spacewar Olympics;Schwer
255;Welcher League of Legends-Spieler löste beim Mid-Season Invitational 2015 den ungeschlagenen LeBlanc-Pick von Faker mit seinem Counter-Pick Morgana auf?;Pawn (Heo Won-seok / Team EDG);Schwer
256;Welches schwedische Team gewann im Jahr 2013 das geschichtsträchtige, allererste Dota 2 Major-Turnier namens „The International 3“ mit einem legendären „Rat-Dota“-Sieg?;Alliance;Schwer
257;Welcher spezifische Befehl in der Konsole von Counter-Strike: Source stellte die exakte Tickrate des Clienten auf die maximale Server-Synchronisation ein?;cl_cmdrate 66 (oder 100 je nach Server);Schwer
258;Wie hieß die erste professionelle eSport-Liga für Frauen, die bereits im Jahr 2003 gegründet wurde und weltweite Turniere organisierte?;Cyberathlete Female League (CFL);Schwer
259;Welcher StarCraft II-Spieler (Terraner) wurde für sein absurdes Multitasking und seine perfekten Splits gegen Banelinge als „The Marine King“ bezeichnet?;MarineKing (Lee Jung-hoon);Schwer
260;Wie heißt das mathematische System hinter der Platzierung von kosmetischen Stickern auf Waffen-Skins in Counter-Strike 2, das absolute Pixel-Präzision erlaubt?;XYZ-Koordinaten-Sticker-System (Custom Sticker Placement);Schwer
261;Welcher berühmte Vorfall bei der LoL-Weltmeisterschaft 2012 führte zu einer Geldstrafe von 30.000 Dollar für das Team Azubu Frost, weil ein Spieler auf die Hauptleinwand schaute?;Screen-Looking Scandal (Woong Minimap-Cheat);Schwer
262;Wie hieß der legendäre Modder, der nach dem Ausscheiden von „Eul“ das Projekt DotA Allstars übernahm, bevor er es schlussendlich an IceFrog übergab?;Guinsoo (Steve Feak);Schwer
263;Welches Team schaffte den historischen „Grand Slam“ der IEM im Jahr 2019 im Rekordtempo von nur 63 Tagen im eSport-Bereich von CS:GO?;Team Liquid;Schwer
264;Wie lautet der exakte In-Game-Name der Waffe in Counter-Strike 1.6, die im echten Leben als „Steyr TMP“ bekannt ist und exklusiv von den Counter-Terroristen gekauft werden konnte?;Schmidt Machine Pistol (TMP);Schwer
265;Welcher professionelle Tekken-Spieler aus Pakistan schockierte 2019 die weltweite Fighting-Game-Community, indem er ungesponsert die EVO Japan und EVO Vegas dominierte?;Arslan Ash (Arslan Siddique);Schwer
266;Welcher League of Legends-Champion hatte in der Alpha-Version des Spiels eine globale Ultimative, die alle gegnerischen Champions auf der Karte ohne Vorwarnung betäubte?;Twisted Fate (seine E war global, das R deckte auf und verlangsamte);Schwer
267;Wie hieß das ikonische Counter-Strike 1.6-Video aus dem Jahr 2005 von Pubstars, das die eSport-Videobearbeitung revolutionierte?;Annihilation 2;Schwer
268;Welches südkoreanische StarCraft-Team brachte die meisten Gewinner der renommierten Osl (OnGameNet Starleague) hervor und wurde von einem Telekommunikations-Riesen gesponsert?;SK Telecom T1;Schwer
269;Wie heißt das Phänomen in alten Röhrenmonitoren (CRT), das eSportler im Jahr 2000 nutzten, um absolut verzögerungsfrei mit 100 bis 120 Hertz zu spielen?;Zero Input Lag (Natives Elektronenstrahl-Verfahren);Schwer
270;Welcher CS:GO-Profi vollbrachte das Kunststück, auf der Map Overpass ein Ninja-Defuse mitten in einer brennenden Molotov-Granate durchzuziehen, wofür er ein Graffiti erhielt?;olofmeister (Olof Kajbjer);Schwer
271;Welches Team verlor das legendäre „InSec-Match“ bei den All-Stars 2013 gegen das dänisch-europäische Lineup?;NA LCS All-Stars;Schwer
272;Wie hieß das spektakuläre Anti-Cheat-System, das bei den klassischen LAN-Turnieren der ESL in den 2000er Jahren als physisches Boot-System via CD eingesetzt wurde?;ACON (ESL Trusted / EAS CD-Check);Schwer
273;Welches eSport-Team hielt den historischen Rekord für das längste ungeschlagene Match-Wochenende in StarCraft II mit 36 gewonnenen Individual-Maps in Folge?;Incredible Miracle (IM);Schwer
274;Wie heißt der ursprüngliche Entwickler der Map de_train, die über zwei Jahrzehnte ein absoluter Kernbestandteil des eSport-Mappools in Counter-Strike war?;Christopher „Barney“ Auty;Schwer
275;Welcher League of Legends-Profi hält den ewigen Rekord für die meisten kumulierten Kills in der Geschichte der europäischen Profiliga (LEC)?;Rekkles (Martin Larsson);Schwer
276;Wie hoch war die Tickrate der offiziellen Matchmaking-Server, die Valve während der gesamten Ära von CS:GO bereitstellte?;64 Tick;Mittel
277;Welches asiatische Team sicherte sich den allerersten Sieg beim Valorant Champions Weltmeisterschaftsturnier im Jahr 2021?;Acend (Europäisches Team - Korrektur: Acend bezwang Gambit);Schwer
278;Wie hieß der Software-Bug in Counter-Strike 1.6, bei dem man durch extrem schnelles, abwechselndes Drücken von Ducken-Befehlen völlig lautlos über Kisten laufen konnte?;Silent Run (Russian Walking);Schwer
279;Welcher Dota 2-Spieler wurde durch das legendäre „The Play“-Video auf dem TI2 weltberühmt, bei dem er als Juggernaut das Blatt gegen Team iG wendete?;Yentu „Patience“ / Korrektur: LightofHeaven (mit Enigma);Schwer
280;Wie heißt der exakte Name des Studio-Hauptquartiers in Seoul, aus dem über ein Jahrzehnt die legendären GSL-Übertragungen in StarCraft II gesendet wurden?;FreecUp Studio (ehemals GOMTV Studio);Schwer
281;Aus welchem klassischen eSport-Shooter stammt der Begriff „Rocket Jumping“, bei dem man eine Rakete vor die eigenen Füße schießt, um enorme Höhen zu erreichen?;Quake (oder Team Fortress);Einfach
282;Wie nennt man im kompetitiven Gaming das unfaire Abspratschen von Match-Ergebnissen zwischen Teams vor dem Spiel?;Match-Fixing;Einfach
283;Welcher schwedische Profi gilt als einer der erfolgreichsten Counter-Strike 1.6-Spieler aller Zeiten und formte das unschlagbare Fnatic-Lineup von 2009?;f0rest (Patrik Lindberg);Mittel
284;Welcher Champion in League of Legends besitzt eine passive Fähigkeit namens „Anilin“, die ihn nach dem Tod als Ei wiederbeleben lässt?;Anivia;Mittel
285;Was versteht man unter dem Begriff „Peeker's Advantage“ in kompetitiven Online-Shootern?;Der minimale Zeitvorteil des angreifenden Spielers durch Netzwerklatenz beim Um-die-Ecke-Laufen;Mittel
286;Wie heißt der offizielle, jährlich ausgetragene Circuit von High-End-Turnieren im Counter-Strike-Bereich, der von der ESL organisiert wird?;ESL Pro Tour (Intel Extreme Masters);Mittel
287;Welche Tastatur-Technologie wird von eSportlern bevorzugt, da sie mechanische Schalter mit linearem oder taktilem Feedback bietet?;Mechanische Tastatur (Mechanical Switches);Einfach
288;Welches Team gewann die allererste League of Legends Weltmeisterschaft (Worlds) im Jahr 2011 in Jönköping, Schweden?;Fnatic;Mittel
289;Wie nennt man den In-Game-Gegenstand in Counter-Strike, der feindliche Radarsignale blockiert und fälschlicherweise Schüsse vortäuscht?;Ködergranate (Decoy);Einfach
290;Welcher US-amerikanische eSport-Klub wurde von den Brüdern Andy und Dan Dinh gegründet und feierte unter der Abkürzung „TSM“ riesige Erfolge?;Team SoloMid (TSM);Mittel
291;Welches Team durchbrach 2019 die jahrelange asiatische Dominanz und gewann das LoL Mid-Season Invitational (MSI) für Europa?;G2 Esports;Mittel
292;Wie lautet die offizielle Bezeichnung für das maximale Level, das ein einzelner Champion in einer Standardrunde League of Legends erreichen kann?;Level 18;Einfach
293;Welcher legendäre CS:GO-Spieler aus Bosnien gilt als einer der besten Aim-Götter der Shooter-Geschichte und spielt unter dem Kürzel „NiKo“?;NiKo (Nikola Kova?);Mittel
294;Welches Strategiespiel von Blizzard brachte die eSport-Kultur in den späten 90er Jahren in südkoreanischen PC-Bangs erst richtig zum Explodieren?;StarCraft;Einfach
295;Wie nennt man die Phase direkt vor dem Start einer Runde in Counter-Strike 2, in der sich Spieler nicht bewegen, aber Ausrüstung kaufen können?;Freeze Time (Kaufphase);Einfach
296;Welcher eSport-Klub ist bekannt für sein Logo mit dem brennenden, roten Phönix und dominiert die chinesische LoL-Szene unter dem Namen FPX?;FunPlus Phoenix;Mittel
297;Was bedeutet die Abkürzung „GGWP“, die eSportler traditionell als Zeichen des Respekts nach einem Match in den Chat schreiben?;Good Game, Well Played;Einfach
298;Welcher Taktik-Shooter von Ubisoft schickt eSport-Teams in 5v5-Matches als Angreifer und Verteidiger in hochgradig zerstörbare Gebäude?;Tom Clancy's Rainbow Six Siege;Einfach
299;Wie heißt das gigantische lila Dschungel-Monster in League of Legends, das nach 20 Minuten Spielzeit auf der Karte erscheint?;Baron Nashor;Einfach
300;Welcher legendäre Spielzug des Spielers „Daigo“ im Spiel Street Fighter III ging als „Evo Moment 37“ in die eSport-Geschichte ein?;Der perfekte Parry aller Schläge von Chun-Lis Special-Move mit nur 1 HP Restleben;Schwer
